,aReg  r0,aReg  r0 bReg  r0,aReg  r0 bReg  r1,aReg  r0 bReg  r2,aReg  r1,aReg  r1 bReg  r0,aReg  r1 bReg  r1,aReg  r1 bReg  r2,aReg  r2,aReg  r2 bReg  r0,aReg  r2 bReg  r1,aReg  r2 bReg  r2,bReg  r0,bReg  r1,bReg  r2
aReg  r0,92.3076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69230769231
aReg  r0 bReg  r0,,,,,,,,,,,,,,,
aReg  r0 bReg  r1,,,,,,,,,,,,,,,
aReg  r0 bReg  r2,,,,,,,,,,,,,,,
aReg  r1,0.0,0.0,0.0,0.0,60.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
aReg  r1 bReg  r0,,,,,,,,,,,,,,,
aReg  r1 bReg  r1,,,,,,,,,,,,,,,
aReg  r1 bReg  r2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aReg  r2,,,,,,,,,,,,,,,
aReg  r2 bReg  r0,,,,,,,,,,,,,,,
aReg  r2 bReg  r1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0
aReg  r2 bReg  r2,,,,,,,,,,,,,,,
bReg  r0,,,,,,,,,,,,,,,
bReg  r1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
bReg  r2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,87.5
