,aRoom  r0,aRoom  r0 bRoom  r0,aRoom  r0 bRoom  r1,aRoom  r0 bRoom  r2,aRoom  r1,aRoom  r1 bRoom  r0,aRoom  r1 bRoom  r1,aRoom  r1 bRoom  r2,aRoom  r2,aRoom  r2 bRoom  r0,aRoom  r2 bRoom  r1,aRoom  r2 bRoom  r2,bRoom  r0,bRoom  r1,bRoom  r2
aRoom  r0,68.0412371134,0.0,0.0,0.0,19.587628866,0.0,0.0,1.03092783505,0.0,0.0,5.15463917526,0.0,0.0,2.0618556701,4.12371134021
aRoom  r0 bRoom  r0,,,,,,,,,,,,,,,
aRoom  r0 bRoom  r1,,,,,,,,,,,,,,,
aRoom  r0 bRoom  r2,,,,,,,,,,,,,,,
aRoom  r1,33.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.6666666667,0.0,0.0,0.0,0.0
aRoom  r1 bRoom  r0,,,,,,,,,,,,,,,
aRoom  r1 bRoom  r1,,,,,,,,,,,,,,,
aRoom  r1 bRoom  r2,3.33333333333,0.0,0.0,0.0,3.33333333333,0.0,0.0,20.0,0.0,0.0,13.3333333333,0.0,0.0,20.0,40.0
aRoom  r2,,,,,,,,,,,,,,,
aRoom  r2 bRoom  r0,,,,,,,,,,,,,,,
aRoom  r2 bRoom  r1,0.0,0.0,0.0,0.0,11.1111111111,0.0,0.0,0.0,0.0,0.0,11.1111111111,0.0,0.0,11.1111111111,66.6666666667
aRoom  r2 bRoom  r2,,,,,,,,,,,,,,,
bRoom  r0,,,,,,,,,,,,,,,
bRoom  r1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
bRoom  r2,3.01507537688,0.0,0.0,0.0,9.04522613065,0.0,0.0,38.6934673367,0.0,0.0,10.0502512563,0.0,0.0,10.0502512563,29.1457286432
