,aReg  r0,aReg  r1,aReg  r1 bReg  r2,aReg  r2 bReg  r1,bReg  r1,bReg  r2
aReg  r0,57,15,18,7,3,28
aReg  r1,11,25,9,7,17,8
aReg  r1 bReg  r2,1,1,48,5,4,6
aReg  r2 bReg  r1,0,0,9,14,2,23
bReg  r1,1,1,0,0,1,2
bReg  r2,0,0,3,1,0,13
