,aReg  d0,aReg  d0 bReg  d0,aReg  d0 bReg  d1,aReg  d0 bReg  r0,aReg  d0 bReg  r1,aReg  d0 bReg  r2,aReg  d1,aReg  d1 bReg  d0,aReg  d1 bReg  d1,aReg  d1 bReg  r0,aReg  d1 bReg  r1,aReg  d1 bReg  r2,aReg  r0,aReg  r0 bReg  d0,aReg  r0 bReg  d1,aReg  r0 bReg  r0,aReg  r0 bReg  r1,aReg  r0 bReg  r2,aReg  r1,aReg  r1 bReg  d0,aReg  r1 bReg  d1,aReg  r1 bReg  r0,aReg  r1 bReg  r1,aReg  r1 bReg  r2,aReg  r2,aReg  r2 bReg  d0,aReg  r2 bReg  d1,aReg  r2 bReg  r0,aReg  r2 bReg  r1,aReg  r2 bReg  r2,aRoom  r0,aRoom  r0 bRoom  r0,aRoom  r0 bRoom  r1,aRoom  r0 bRoom  r2,aRoom  r1,aRoom  r1 bRoom  r0,aRoom  r1 bRoom  r1,aRoom  r1 bRoom  r2,aRoom  r2,aRoom  r2 bRoom  r0,aRoom  r2 bRoom  r1,aRoom  r2 bRoom  r2,bReg  d0,bReg  d1,bReg  r0,bReg  r1,bReg  r2,bRoom  r0,bRoom  r1,bRoom  r2
aRoom  r0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.3076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aRoom  r0 bRoom  r0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aRoom  r0 bRoom  r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aRoom  r0 bRoom  r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aRoom  r1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aRoom  r1 bRoom  r0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aRoom  r1 bRoom  r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aRoom  r1 bRoom  r2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.4545454545,0.0,0.0,27.2727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09090909091,18.1818181818
aRoom  r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aRoom  r2 bRoom  r0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
