,aReg  r0,aReg  r0 bReg  r0,aReg  r0 bReg  r1,aReg  r0 bReg  r2,aReg  r1,aReg  r1 bReg  r0,aReg  r1 bReg  r1,aReg  r1 bReg  r2,aReg  r2,aReg  r2 bReg  r0,aReg  r2 bReg  r1,aReg  r2 bReg  r2,bReg  r0,bReg  r1,bReg  r2
aReg  r0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
aReg  r0 bReg  r0,,,,,,,,,,,,,,,
aReg  r0 bReg  r1,,,,,,,,,,,,,,,
aReg  r0 bReg  r2,,,,,,,,,,,,,,,
aReg  r1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3333333333,0.0,0.0,66.6666666667,0.0
aReg  r1 bReg  r0,,,,,,,,,,,,,,,
aReg  r1 bReg  r1,,,,,,,,,,,,,,,
aReg  r1 bReg  r2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
aReg  r2,,,,,,,,,,,,,,,
aReg  r2 bReg  r0,,,,,,,,,,,,,,,
aReg  r2 bReg  r1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,37.5,0.0
aReg  r2 bReg  r2,,,,,,,,,,,,,,,
bReg  r0,,,,,,,,,,,,,,,
bReg  r1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8235294118,0.0,0.0,41.1764705882,0.0
bReg  r2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1428571429,0.0,0.0,42.8571428571,0.0
